240,160
220,176
160,256
208,208
256,192
280,192
256,212
432,128
240,240
320,192
320,200
256,256
320,208
320,224
320,240
320,256
376,240
272,340
400,240
320,320
432,240
560,192
400,270
512,212
384,288
480,234
400,300
480,250
312,390
640,200
480,272
512,256
416,352
480,320
640,240
640,256
512,342
400,240
512,384
640,320
640,350
640,360
480,500
720,348
720,350
640,400
720,364
800,352
600,480
640,480
640,512
768,480
800,480
848,480
854,480
800,600
960,540
832,624
960,544
1024,576
960,640
1024,600
1024,640
960,720
1136,640
1024,768
